millisInsercao,grau,siglaTribunal,valorCausa,nivelSigilo,numero,codigoOrgaoJulgador,procEl,classeProcessual,tamanhoProcesso,dscSistema,competencia,codigoLocalidade,totalAssuntos,dataAjuizamento,movimentoNacional,movimentoLocal,assuntoNacional,assuntoLocal,tempo_proc_dias,data_ultimo_mov,total_movs_loc,total_movs_nac,total_movs,1_mov_nac_freq,2_mov_nac_freq,desc_mov1,desc_mov2,tempoMedioEntreMovimentos,cluster_processo,pontuacao_processo
1574276405922,3,TST,0.0,0,02359005420025070007,45241,0,1000,3676,0,5,2304400,0,1082602800000,"[[123, '20190222181745'], [123, '20150630181411'], [123, '20190930133301'], [123, '20150701140958'], [92, '20140604070000'], [123, '20150701130552'], [92, '20190227070000'], [92, '20190605070000'], [123, '20150805153623'], [123, '20140822171623'], [51, '20190702090858'], [92, '20190802070000'], [51, '20141105175741'], [123, '20190710182759'], [51, '20140521182905'], [51, '20191016160555'], [123, '20140530173359'], [132, '20140602173314'], [51, '20150805142945'], [123, '20140819152449'], [432, '20191007190000'], [132, '20140819170609'], [92, '20191008070000'], [123, '20190603102255'], [432, '20190226190000'], [51, '20190327173503'], [51, '20190823124808'], [51, '20180927131112'], [123, '20140905104034'], [272, '20120621175659'], [51, '20140805191504'], [92, '20140821070000'], [51, '20150708153752'], [51, '20190320092932']]",[],"[[864, False]]",[],3519,20191016160555,0.0,34.0,34.0,123,51,Remessa,Remessa,103.5,3,69.13372479671189
1574276428612,3,TST,0.0,0,01978002420025070009,45241,0,1000,2481,0,5,2304400,0,1082602800000,"[[51, '20190913095740'], [51, '20190318101009'], [123, '20190425164918'], [123, '20140819152340'], [123, '20140529103138'], [51, '20141105175741'], [92, '20140604070000'], [51, '20180927131721'], [132, '20140819170608'], [51, '20190322143824'], [51, '20140805191504'], [92, '20190613070000'], [51, '20190521090453'], [132, '20140602173117'], [432, '20190819190000'], [123, '20140905103753'], [92, '20190227070000'], [92, '20190820070000'], [51, '20190808173552'], [51, '20191028165639'], [92, '20140821070000'], [123, '20191028182937'], [51, '20140521182905'], [123, '20190222181735'], [123, '20190816143648'], [123, '20140822171623'], [92, '20190509070000'], [432, '20190226190000'], [272, '20120522113554'], [123, '20190531193643']]",[],"[[864, False]]",[],3531,20191028182937,0.0,30.0,30.0,51,123,Conclusão,Conclusão,117.7,3,69.49312123018238
1574276408616,3,TST,0.0,0,13225563120045010900,45241,0,1000,45712,0,5,3304557,0,1082948400000,"[[51, '20190423173901'], [51, '20181219182746'], [92, '20190605070000'], [123, '20140530133640'], [123, '20140529103148'], [272, '20130110164555'], [51, '20190823124808'], [123, '20191022165325'], [123, '20190628115828'], [123, '20190604143832'], [132, '20140603140218'], [272, '20170310153300'], [51, '20140521184247'], [92, '20161103070000'], [123, '20161028101313'], [898, '20170309155243'], [92, '20191029070000'], [92, '20140604070000'], [123, '20190401180228'], [51, '20190521152727'], [265, '20170324193058'], [92, '20190403070000'], [432, '20190402190000'], [51, '20160527102454'], [432, '20191028190000'], [51, '20140805183844'], [51, '20190625131513'], [92, '20190802070000'], [123, '20140602180616']]",[],"[[2656, False]]","[[55193, 1904, False]]",3531,20191029070000,0.0,29.0,29.0,51,123,Conclusão,Conclusão,121.75862068965517,3,69.54879503936833
1574276409901,3,TST,0.0,0,00621008020025220002,45241,0,1000,53705,0,5,2211001,0,1082948400000,"[[92, '20140604070000'], [51, '20190423163213'], [123, '20190521124527'], [123, '20190306165522'], [123, '20161026180731'], [92, '20161103070000'], [92, '20191004070000'], [92, '20190311070000'], [265, '20170324193054'], [123, '20190912151831'], [51, '20140521182554'], [51, '20160527102314'], [898, '20170310184051'], [51, '20181219182634'], [432, '20190308190000'], [92, '20190523070000'], [51, '20190619092338'], [272, '20120803181003'], [123, '20150313095336'], [51, '20190327092528'], [132, '20140602173311'], [272, '20170313174642'], [51, '20140805183537'], [51, '20191025152027'], [123, '20140530173346']]",[],"[[1966, False]]",[],3528,20191025152027,0.0,25.0,25.0,51,123,Conclusão,Conclusão,141.12,3,69.77323096955139
1574276417828,3,TST,0.0,0,00643006020025220002,45241,0,1000,29519,0,5,2211001,0,1082948400000,"[[92, '20140604070000'], [432, '20190220190000'], [123, '20190219140216'], [92, '20190802070000'], [51, '20190312094257'], [123, '20191021145111'], [51, '20181219182634'], [123, '20150313094938'], [898, '20170320151109'], [123, '20140530173347'], [123, '20161121093223'], [51, '20190823124808'], [272, '20110928142048'], [92, '20161123070000'], [51, '20160527102314'], [51, '20190321152917'], [132, '20140602173311'], [51, '20140521182554'], [92, '20190221070000'], [92, '20190523070000'], [51, '20190619092338'], [92, '20191104070000'], [51, '20140805183537'], [123, '20190521124534'], [123, '20190628115629'], [265, '20170329180155']]",[],"[[1966, False]]",[],3537,20191104070000,0.0,26.0,26.0,51,123,Conclusão,Conclusão,136.03846153846155,3,69.8269821566359
1576696200357,3,TST,0.0,0,13225563120045010900,45241,0,1689,1685,0,5,3304557,0,1082948400000,"[[51, '20190521152727'], [51, '20190423173901'], [123, '20140602180616'], [123, '20140529103148'], [51, '20190625131513'], [51, '20191119093624'], [51, '20140805183844'], [92, '20190403070000'], [272, '20130110164555'], [51, '20140521184247'], [123, '20190604143832'], [51, '20181219182746'], [92, '20190605070000'], [272, '20170310153300'], [92, '20140604070000'], [265, '20170324193058'], [123, '20190401180228'], [123, '20191022165325'], [898, '20170309155243'], [51, '20190823124808'], [432, '20190402190000'], [132, '20140603140218'], [92, '20161103070000'], [123, '20190628115828'], [123, '20161028101313'], [92, '20190802070000'], [92, '20191029070000'], [123, '20140530133640'], [51, '20160527102454'], [432, '20191028190000']]",[],"[[2656, False]]","[[55193, 1904, False]]",3552,20191119093624,0.0,30.0,30.0,51,123,Conclusão,Conclusão,118.4,3,69.79078926859117
1576696220780,3,TST,0.0,0,00643006020025220002,45241,0,1689,41576,0,5,2211001,0,1082948400000,"[[123, '20161121093223'], [51, '20190823124808'], [51, '20140805183537'], [51, '20190312094257'], [51, '20160527102314'], [132, '20140602173311'], [51, '20140521182554'], [123, '20191021145111'], [272, '20110928142048'], [898, '20170320151109'], [92, '20140604070000'], [123, '20140530173347'], [92, '20161123070000'], [51, '20190321152917'], [51, '20181219182634'], [51, '20190619092338'], [92, '20190802070000'], [123, '20190628115629'], [123, '20190219140216'], [92, '20190523070000'], [92, '20191104070000'], [123, '20150313094938'], [265, '20170329180155'], [432, '20190220190000'], [92, '20190221070000'], [123, '20190521124534'], [51, '20191127135512']]",[],"[[1966, False]]",[],3561,20191127135512,0.0,27.0,27.0,51,123,Conclusão,Conclusão,131.88888888888889,3,70.09927882810953
1570040382716,3,TST,0.0,0,00621008020025220002,45241,0,1689,53977,0,5,2211001,0,1082948400000,"[[123, '20161026180731'], [51, '20181219182634'], [272, '20170313174642'], [898, '20170310184051'], [123, '20190521124527'], [51, '20190619092338'], [92, '20140604070000'], [265, '20170324193054'], [123, '20190306165522'], [92, '20190311070000'], [432, '20190308190000'], [123, '20140530173346'], [123, '20190912151831'], [51, '20140521182554'], [51, '20140805183537'], [92, '20161103070000'], [272, '20120803181003'], [51, '20190423163213'], [92, '20190523070000'], [132, '20140602173311'], [123, '20150313095336'], [51, '20160527102314'], [51, '20190327092528']]",[],"[[1966, False]]",[],3485,20190912151831,0.0,23.0,23.0,51,123,Conclusão,Conclusão,151.52173913043478,3,69.32606689726654
1576696124897,3,TST,0.0,0,00621008320025220001,45241,0,1689,41540,0,5,2211001,0,1082948400000,"[[92, '20190311070000'], [92, '20140604070000'], [51, '20191119093624'], [51, '20191128151906'], [265, '20170329180155'], [51, '20181219182634'], [51, '20190611075245'], [272, '20110928142048'], [92, '20190701070000'], [123, '20190520175931'], [92, '20190523070000'], [51, '20140521182554'], [123, '20190619152146'], [132, '20140602173311'], [123, '20140530173345'], [51, '20140805183537'], [123, '20191022165301'], [51, '20190423163213'], [92, '20191029070000'], [898, '20170320151109'], [432, '20190308190000'], [123, '20150313095336'], [432, '20191028190000'], [51, '20190823124808'], [92, '20161123070000'], [123, '20190306163115'], [51, '20160527102314'], [123, '20161121093202'], [51, '20190327092528']]",[],"[[1966, False]]",[],3562,20191128151906,0.0,29.0,29.0,51,123,Conclusão,Conclusão,122.82758620689656,3,69.98869854440593
1582017201854,3,TST,0.0,0,00621008020025220002,45224,0,1000,14616,0,5,2211001,0,1082948400000,"[[51, '20190619092338'], [123, '20190912151831'], [51, '20190423163213'], [123, '20161026180731'], [432, '20190308190000'], [265, '20170324193054'], [272, '20120803181003'], [92, '20140604070000'], [132, '20140602173311'], [51, '20160527102314'], [92, '20161103070000'], [51, '20140805183537'], [123, '20190521124527'], [92, '20191004070000'], [92, '20190523070000'], [123, '20190306165522'], [123, '20191121195326'], [51, '20181219182634'], [123, '20150313095336'], [92, '20190311070000'], [51, '20191025152027'], [898, '20170310184051'], [51, '20140521182554'], [51, '20190327092528'], [272, '20170313174642'], [123, '20140530173346']]",[],"[[1966, False]]",[],3555,20191121195326,0.0,26.0,26.0,51,123,Conclusão,Conclusão,136.73076923076923,3,70.08339241304616
1582017234484,3,TST,0.0,0,00904002720025190005,79538,0,1008,3563,0,5,2704302,0,1082948400000,"[[36, '20191108134326'], [265, '20181206155839'], [51, '20180926163421'], [51, '20150306195306'], [123, '20171023182823'], [265, '20170324162119'], [92, '20191004070000'], [898, '20181120174743'], [272, '20120813184556'], [92, '20181030070000'], [51, '20170920144227'], [272, '20150518194533'], [92, '20171025070000'], [123, '20181029154320'], [123, '20191108125739'], [123, '20191129173858'], [123, '20150514121646'], [51, '20190924164151']]",[],"[[864, False]]",[],3563,20191129173858,0.0,18.0,18.0,123,51,Remessa,Remessa,197.94444444444446,3,71.03282554354925
1574276399300,3,TST,0.0,0,00621008320025220001,45241,0,1000,41454,0,5,2211001,0,1082948400000,"[[132, '20140602173311'], [51, '20190327092528'], [51, '20190611075245'], [123, '20191022165301'], [92, '20191029070000'], [432, '20190308190000'], [272, '20110928142048'], [92, '20140604070000'], [92, '20161123070000'], [51, '20160527102314'], [123, '20190306163115'], [92, '20190701070000'], [51, '20190823124808'], [51, '20140521182554'], [123, '20190520175931'], [123, '20150313095336'], [123, '20190619152146'], [92, '20190523070000'], [92, '20190311070000'], [123, '20140530173345'], [51, '20140805183537'], [265, '20170329180155'], [898, '20170320151109'], [51, '20181219182634'], [51, '20190423163213'], [432, '20191028190000'], [123, '20161121093202']]",[],"[[1966, False]]",[],3531,20191029070000,0.0,27.0,27.0,51,123,Conclusão,Conclusão,130.77777777777777,3,69.67251461533709
