SEQ_ORGAO,NOMEDAVARA,SEQ_ORGAO_PAI,GRAU_ORGAO,SEQ_CIDADE,DSC_CIDADE,SIG_UF,COD_IBGE,DSC_TIP_ORGAO,TIP_ESFERA_JUSTICA,INT_ORDEM_ORGAO,LATITUDE,LONGITUDE,CAPITAL,qtd_processos,tempo_medio_proc,tempo_entre_movs,cluster_processual_mais_comum,cluster_unidade,procs_em_alerta,ranking
19997,Salvador  - 01a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,478,3828.096234309624,84.82487334567034,3,1,64,0
19998,Salvador  - 02a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,506,4480.276679841897,67.48261972738409,3,1,99,0
19999,Salvador  - 03a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,496,4539.784274193548,49.7228247534184,3,1,93,0
20000,Salvador  - 04a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,581,3834.459552495697,41.00491362523212,3,1,81,0
20001,Salvador  - 05a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,420,3342.6714285714284,25.75918968087512,3,1,38,0
20002,Salvador  - 06a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,405,3715.8493827160496,63.75530558250354,3,1,52,0
20003,Salvador  - 07a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,495,4062.785858585859,65.20322573493132,3,1,63,0
20004,Salvador  - 08a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,414,3373.6739130434785,71.90842831440305,3,1,46,0
20005,Salvador  - 09a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,649,2704.8212634822808,45.2152420957794,3,1,64,0
20006,Salvador  - 10a Vara,13201.0,GRA1T,4278.0,salvador,BA,2927408.0,Varas Trabalhistas,T,,-12.9710193,-38.5121307,1,593,4826.2394603709945,71.8546009623415,3,1,107,0
